event_year,area_office
1984,1054113
1984,257250
1984,625400
1984,854910
1984,830500
1984,751910
1984,352450
1984,213900
1984,653510
1984,453710
1984,454510
1984,1032100
1984,950411
1984,830500
1984,352440
1984,454510
1984,523420
1984,950411
1984,627100
1984,751910
1984,452110
1984,352420
1984,522000
1984,316700
1984,454510
1984,454724
1984,316400
1984,418800
1984,418800
1984,524200
1984,729700
1984,352420
1984,352420
1984,215800
1984,625400
1984,352410
1984,352410
1984,352420
1984,950411
1984,627700
1984,627100
1984,419700
1984,524200
1984,214200
1984,830300
1984,854910
1984,950411
1984,951510
1984,352420
1984,419400
1984,454510
1984,454716
1984,854910
1984,418100
1984,951510
1984,551800
1984,625700
1984,213900
1984,213100
1984,453710
1984,627700
1984,626300
1984,950411
1984,950411
1984,420600
1984,111400
1984,552700
1984,728900
1984,453710
1984,625400
1984,626300
1984,627400
1984,950411
1984,112000
1984,418800
1984,420600
1984,352440
1984,830300
1984,316700
1984,454510
1984,626600
1984,950411
1984,552700
1984,215800
1984,627400
1984,316400
1984,522000
1984,950411
1984,751910
1984,214500
1984,653510
1984,830300
1984,352420
1984,352440
1984,653510
1984,453710
1984,625400
1984,419700
1984,418100
1984,317500
1984,420600
1984,552700
1984,215800
1984,830300
1984,626600
1984,626600
1984,830500
1984,728900
1984,953220
1984,215800
1984,215800
1984,453710
1984,627700
1984,626300
1984,855610
1984,626000
1984,830500
1984,453710
1984,1050210
1984,419700
1984,551800
1984,452110
1984,352440
1984,552700
1984,830100
1984,627700
1984,1054114
1984,317740
1984,454510
1984,454714
1984,626300
1984,854910
1984,112000
1984,418100
1984,452110
1984,626300
1984,418800
1984,418800
1984,111100
1984,352440
1984,419400
1984,419400
1984,213600
1984,830300
1984,524700
1984,626600
1984,626600
1984,627100
1984,454510
1984,454520
1984,626300
1984,626300
1984,316400
1984,931800
1984,418800
1984,352420
1984,552700
1984,213400
1984,453710
1984,317500
1984,257210
1984,419400
1984,454713
1984,627100
1984,419700
1984,551800
1984,625700
1984,625700
1984,352410
1984,213900
1984,453710
1984,830300
1984,317000
1984,454712
1984,854910
1984,950411
1984,420600
1984,452110
1984,552700
1984,214700
1984,524700
1984,317000
1984,317000
1984,552700
1984,420600
1984,420600
1984,352440
1984,552700
1984,213900
1984,213600
1984,830300
1984,1054115
1984,317500
1984,317500
1984,626600
1984,523400
1984,950411
1984,551800
1984,452110
1984,452110
1984,111100
1984,352440
1984,953220
1984,453710
1984,1054115
1984,950411
1984,830500
1984,112000
1984,551800
1984,551800
1984,352420
1984,728900
1984,213600
1984,522300
1984,317500
1984,454510
1984,454510
1984,627400
1984,355114
1984,855610
1984,627100
1984,830500
1984,420600
1984,524530
1984,729700
1984,452110
1984,316100
1984,213400
1984,453710
1984,453710
1984,454713
1984,854910
1984,521100
1984,523420
1984,420600
1984,551800
1984,352440
1984,352440
1984,111400
1984,627400
1984,830500
1984,418800
1984,551800
1984,452110
1984,111400
1984,419400
1984,728500
1984,112300
1984,627400
1984,316400
1984,627100
1984,420600
1984,524530
1984,551800
1984,352410
1984,111400
1984,1054114
1984,317740
1984,626600
1984,854910
1984,830100
1984,454510
1984,625400
1984,950411
1984,830500
1984,951510
1984,729700
1984,452110
1984,352420
1984,213100
1984,453710
1984,215300
1984,627400
1984,854910
1984,523400
1984,521400
1984,729700
1984,352420
1984,627700
1984,257240
1984,454712
1984,454716
1984,524500
1984,551800
1984,551800
1984,452110
1984,625700
1984,316100
1984,352440
1984,552700
1984,1054116
1984,454510
1984,418600
1984,830500
1984,112000
1984,524530
1984,551800
1984,352420
1984,352420
1984,214500
1984,1054116
1984,317740
1984,454713
1984,523400
1984,523420
1984,931600
1984,950411
1984,950411
1984,951510
1984,551800
1984,551800
1984,729700
1984,953220
1984,953220
1984,214700
1984,317000
1984,626600
1984,155010
1984,316700
1984,626000
1984,453710
1984,420600
1984,552700
1984,522000
1984,522000
1984,317500
1984,454510
1984,454715
1984,626300
1984,854910
1984,355111
1984,316400
1984,521110
1984,452110
1984,111100
1984,453710
1984,453710
1984,453710
1984,317530
1984,626300
1984,626600
1984,854910
1984,854910
1984,418600
1984,112000
1984,551800
1984,552700
1984,213600
1984,316700
1984,625400
1984,854910
1984,523420
1984,1050210
1984,420600
1984,524200
1984,551800
1984,551800
1984,729700
1984,452110
1984,625700
1984,352410
1984,352440
1984,552700
1984,552700
1984,653510
1984,213600
1984,453710
1984,316700
1984,418500
1984,454510
1984,454711
1984,454712
1984,155010
1984,316400
1984,830500
1984,317020
1984,521700
1984,625700
1984,213900
1984,830300
1984,522000
1984,454715
1984,316400
1984,452110
1984,352410
1984,751910
1984,420600
1984,418400
1984,111100
1984,352440
1984,729300
1984,625100
1984,453710
1984,854910
1984,419700
1984,418100
1984,418100
1984,625700
1984,625700
1984,352440
1984,552700
1984,728500
1984,213900
1984,213900
1984,215800
1984,524700
1984,355111
1984,418800
1984,522300
1984,626300
1984,627400
1984,418300
1984,419700
1984,524200
1984,551800
1984,551800
1984,213100
1984,1054114
1984,155010
1984,521100
1984,111100
1984,352410
1984,352420
1984,552700
1984,522000
1984,317500
1984,317500
1984,626300
1984,521100
1984,951510
1984,627100
1984,627100
1984,420600
1984,551800
1984,452110
1984,452110
1984,653510
1984,215800
1984,453710
1984,453710
1984,627400
1984,855610
1984,1050210
1984,627100
1984,419700
1984,418100
1984,352440
1984,352440
1984,112600
1984,1054116
1984,317500
1984,454510
1984,454510
1984,626300
1984,626300
1984,626600
1984,854910
1984,418300
1984,830500
1984,419700
1984,418100
1984,551800
1984,213900
1984,626600
1984,854910
1984,418400
1984,625700
1984,111100
1984,352440
1984,552700
1984,830500
1984,419700
1984,729700
1984,419000
1984,625700
1984,213900
1984,453710
1984,627700
1984,1054192
1984,626300
1984,626300
1984,830100
1984,627400
1984,854910
1984,854910
1984,855610
1984,418100
1984,950411
1984,950411
1984,830500
1984,419400
1984,522000
1984,627700
1984,627700
1984,317740
1984,626300
1984,854910
1984,854910
1984,523400
1984,524200
1984,524500
1984,452110
1984,625700
1984,352420
1984,352440
1984,552700
1984,453710
1984,627700
1984,112300
1984,854910
1984,627100
1984,112000
1984,419700
1984,419700
1984,524200
1984,452110
1984,625700
1984,112600
1984,830100
1984,522000
1984,522000
1984,522500
1984,627400
1984,627400
1984,316400
1984,418300
1984,551800
1984,551800
1984,552700
1984,728900
1984,830300
1984,522000
1984,523400
1984,950411
1984,830500
1984,551800
1984,352440
1984,111700
1984,453710
1984,453710
1984,627700
1984,625400
1984,418800
1984,521700
1984,521700
1984,830100
1984,524700
1984,627700
1984,317500
1984,454510
1984,830500
1984,418400
1984,352440
1984,552700
1984,453710
1984,521100
1984,855610
1984,830500
1984,830500
1984,418800
1984,418100
1984,521400
1984,352420
1984,552700
1984,454510
1984,626600
1984,1032300
1984,950411
1984,551800
1984,551800
1984,551800
1984,352420
1984,111400
1984,522300
1984,627700
1984,257240
1984,257240
1984,454510
1984,626000
1984,626600
1984,854910
1984,855610
1984,418600
1984,950411
1984,418100
1984,1032500
1984,521700
1984,452110
1984,453710
1984,453710
1984,454712
1984,950411
1984,653510
1984,950411
1984,418800
1984,625700
1984,352440
1984,522000
1984,112300
1984,627400
1984,854910
1984,111100
1984,213100
1984,317530
1984,854910
1984,316110
1984,355110
1984,950411
1984,551800
1984,452110
1984,352440
1984,1054115
1984,1054116
1984,257210
1984,454510
1984,626300
1984,523420
1984,950411
1984,627100
1984,452110
1984,552700
1984,729300
1984,215800
1984,317500
1984,257240
1984,257240
1984,257240
1984,454510
1984,830500
1984,551800
1984,551800
1984,653510
1984,522000
1984,1054115
1984,454714
1984,626300
1984,355112
1984,551800
1984,830300
1984,524700
1984,418800
1984,352420
1984,112600
1984,830100
1984,454510
1984,625400
1984,854910
1984,854910
1984,950411
1984,950411
1984,627100
1984,521700
1984,524200
1984,551800
1984,729700
1984,352440
1984,552700
1984,1054112
1984,1054113
1984,317500
1984,454510
1984,454510
1984,626300
1984,418600
1984,830500
1984,452110
1984,352420
1984,352440
1984,524700
1984,524700
1984,1032700
1984,112300
1984,454714
1984,626600
1984,626600
1984,950411
1984,627100
1984,213600
1984,626600
1984,627400
1984,355112
1984,950411
1984,931810
1984,418100
1984,551800
1984,452110
1984,452110
1984,728900
1984,830300
1984,317500
1984,419400
1984,214200
1984,150900
1984,951510
1984,524200
1984,352420
1984,213400
1984,453710
1984,316700
1984,454722
1984,627100
1984,150900
1984,316100
1984,453710
1984,1054116
1984,454711
1984,625400
1984,626300
1984,626300
1984,355117
1984,521100
1984,111400
1984,552700
1984,552700
1984,830100
1984,215800
1984,627700
1984,454510
1984,625400
1984,626000
1984,626300
1984,626600
1984,854910
1984,317020
1984,213600
1984,522000
1984,1054114
1984,257260
1984,855610
1984,1050210
1984,418100
1984,111700
1984,453710
1984,522000
1984,626300
1984,418800
1984,419400
1984,551800
1984,316700
1984,316110
1984,418800
1984,418100
1984,524200
1984,751910
1984,452110
1984,352420
1984,653510
1984,1054115
1984,854910
1984,830500
1984,352420
1984,352440
1984,215000
1984,453710
1984,317000
1984,454715
1984,854910
1984,854910
1984,418100
1984,625700
1984,352440
1984,552700
1984,627700
1984,257260
1984,355112
1984,355112
1984,1050210
1984,352410
1984,352420
1984,552700
1984,830100
1984,953220
1984,626300
1984,626300
1984,355117
1984,316400
1984,523400
1984,418800
1984,830100
1984,418500
1984,523420
1984,316100
1984,653510
1984,524700
1984,317740
1984,524200
1984,854910
1984,1050210
1984,1050210
1984,352440
1984,213600
1984,453710
1984,625400
1984,854910
1984,453710
1984,522300
1984,626300
1984,418400
1984,352440
1984,953220
1984,653510
1984,453710
1984,522000
1984,454716
1984,625400
1984,418300
1984,627100
1984,524200
1984,551800
1984,352420
1984,352440
1984,552700
1984,953220
1984,111700
1984,214200
1984,316700
1984,626300
1984,751910
1984,352420
1984,352420
1984,352440
1984,213600
1984,522000
1984,418500
1984,454714
1984,418100
1984,452110
1984,418800
1984,213900
1984,627700
1984,627100
1984,551800
1984,352440
1984,728500
1984,453710
1984,316700
1984,626000
1984,626300
1984,854910
1984,418300
1984,418400
1984,111100
1984,552700
1984,728900
1984,1054111
1984,316700
1984,625400
1984,854910
1984,317020
1984,418100
1984,111100
1984,213100
1984,522000
1984,316700
1984,854910
1984,418300
1984,419700
1984,418100
1984,524200
1984,452110
1984,729300
1984,213600
1984,522300
1984,418100
1984,729300
1984,653510
1984,112300
1984,112300
1984,625400
1984,523420
1984,627400
1984,419700
1984,420600
1984,625700
1984,352440
1984,729300
1984,653510
1984,453710
1984,626300
1984,626600
1984,1050210
1984,419700
1984,420600
1984,524200
1984,751910
1984,352420
1984,552700
1984,728500
1984,453710
1984,419700
1984,524200
1984,524200
1984,552700
1984,728900
1984,214500
1984,214500
1984,830300
1984,317500
1984,454734
1984,626300
1984,854910
1984,627100
1984,418800
1984,452110
1984,452110
1984,352410
1984,352420
1984,215000
1984,854910
1984,419700
1984,418100
1984,521700
1984,524200
1984,452110
1984,452110
1984,111400
1984,454510
1984,454713
1984,627700
1984,627700
1984,1054115
1984,317000
1984,317500
1984,626300
1984,626300
1984,352410
1984,352440
1984,950411
1984,352420
1984,728900
1984,653510
1984,213100
1984,112300
1984,454510
1984,626300
1984,626600
1984,418300
1984,418400
1984,625700
1984,419400
1984,453710
1984,854910
1984,950411
1984,950411
1984,420600
1984,551800
1984,625700
1984,111100
1984,552700
1984,552700
1984,728900
1984,522500
1984,420100
1984,626300
1984,418100
1984,352420
1984,352420
1984,352420
1984,352450
1984,352450
1984,213400
1984,215800
1984,317000
1984,420600
1984,215000
1984,627700
1984,627700
1984,854910
1984,1050210
1984,625700
1984,215000
1984,316700
1984,931800
1984,420600
1984,419400
1984,453710
1984,830300
1984,317740
1984,625400
1984,626000
1984,111100
1984,352420
1984,213400
1984,453710
1984,524700
1984,854910
1984,551800
1984,352420
1984,111400
1984,214500
1984,653510
1984,653510
1984,627700
1984,627700
1984,112300
1984,625400
1984,316400
1984,419700
1984,418100
1984,418400
1984,1032500
1984,352440
1984,552700
1984,627700
1984,627700
1984,112300
1984,454510
1984,627400
1984,112000
1984,452110
1984,552700
1984,627700
1984,317740
1984,112300
1984,355119
1984,352440
1984,854910
1984,552700
1984,627100
1984,551800
1984,625700
1984,352420
1984,453710
1984,524700
1984,454510
1984,626600
1984,830500
1984,418100
1984,551800
1984,729700
1984,452110
1984,352420
1984,453710
1984,522500
1984,627700
1984,454712
1984,625400
1984,626600
1984,523400
1984,524200
1984,352420
1984,352420
1984,728500
1984,1054112
1984,454510
1984,950411
1984,418800
1984,751910
1984,452110
1984,352440
1984,552700
1984,627700
1984,627700
1984,1054113
1984,317500
1984,454510
1984,454510
1984,454510
1984,830500
1984,418100
1984,213600
1984,625400
1984,626000
1984,355122
1984,418600
1984,215000
1984,355111
1984,418800
1984,951510
1984,524200
1984,453710
1984,317500
1984,626300
1984,626300
1984,418300
1984,551800
1984,452110
1984,214200
1984,215000
1984,830300
1984,625400
1984,418800
1984,418100
1984,551800
1984,522500
1984,454714
1984,626300
1984,854910
1984,352440
1984,950411
1984,419700
1984,355112
1984,352420
1984,352440
1984,728500
1984,627700
1984,626300
1984,830500
1984,418100
1984,453710
1984,215300
1984,454510
1984,155010
1984,931600
1984,751910
1984,728900
1984,1054112
1984,830500
1984,418100
1984,524200
1984,551800
1984,454510
1984,454715
1984,854910
1984,420600
1984,352420
1984,830100
1984,213100
1984,627700
1984,317500
1984,625400
1984,854910
1984,352420
1984,454510
1984,830500
1984,625700
1984,155010
1984,551800
1984,452110
1984,627700
1984,317700
1984,454510
1984,627400
1984,854910
1984,1050210
1984,1032500
1984,552700
1984,627400
1984,854910
1984,854910
1984,214500
1984,317000
1984,626300
1984,626600
1984,552700
1984,729300
1984,213400
1984,454712
1984,626300
1984,418300
1984,830500
1984,352420
1984,552700
1984,625400
1984,626300
1984,626300
1984,418800
1984,551800
1984,729300
1984,214200
1984,213100
1984,854910
1984,854910
1984,627100
1984,352440
1984,111700
1984,454711
1984,855610
1984,950411
1984,418400
1984,751910
1984,522300
1984,1054115
1984,317500
1984,854910
1984,355114
1984,316400
1984,420600
1984,521400
1984,729300
1984,830100
1984,215000
1984,524700
1984,454510
1984,854910
1984,155010
1984,551800
1984,751910
1984,352440
1984,453710
1984,524700
1984,317000
1984,257260
1984,626000
1984,626300
1984,1032100
1984,1050210
1984,625700
1984,524500
1984,551800
1984,352440
1984,215000
1984,420300
1984,453710
1984,522000
1984,1054114
1984,454510
1984,625400
1984,355114
1984,1050210
1984,625700
1984,552700
1984,653510
1984,317000
1984,626300
1984,627400
1984,854910
1984,418800
1984,352440
1984,728500
1984,454510
1984,454711
1984,854910
1984,951510
1984,552700
1984,522300
1984,317740
1984,626300
1984,625700
